z_mm,dLETPrimaries,dLETProtons,dLETAll,tLETPrimaries,tLETProtons,tLETAll
4.2075000000000005,12.00318150719026,13.51609210888744,37.550640040118246,11.855629163027322,12.030804296772718,12.114828115847816
4.2925,12.007968111952312,13.519031234253028,37.2912058656108,11.864997559707655,12.041258270190761,12.125098380375672
4.3775,12.03175485655871,13.560582265609964,38.09073362015251,11.883949383332299,12.062160827639774,12.147930242781774
4.4625,12.055052195127129,13.598216320498999,37.99791012604709,11.908149293039317,12.088422583142176,12.174896070655818
4.547499999999999,12.064138978780015,13.618450279421918,37.93079275177234,11.917240548925434,12.098979969128422,12.18418831334048
4.6325,12.08738821268661,13.629914794601344,37.59622867959168,11.942335206784202,12.124475906199567,12.209072198105687
4.7175,12.10486803585702,13.664401113460482,37.9806103525485,11.958805694871932,12.142889764661653,12.229866825073614
4.8025,12.118005542987616,13.680855233111764,38.418987839014484,11.972995366497596,12.157876977657402,12.24396729452104
4.8875,12.14546664457698,13.714185245960188,37.72092766672578,11.999288782628918,12.186186393255113,12.271668831989642
4.9725,12.159087076595473,13.746256722967427,38.059341414022235,12.010773089596395,12.199972296116883,12.286943756416107
5.0575,12.17778616799671,13.762143025998663,38.15169124519862,12.031979812387872,12.221698197200997,12.309331981408887
5.1425,12.200662041328814,13.81402229924889,37.74088772947045,12.053282160068537,12.24496926333962,12.331058263210787
5.227500000000001,12.213658736334752,13.820551835414967,37.633078619953956,12.06630380953063,12.258737612259413,12.344420728655617
5.3125,12.238051622644104,13.860300656749379,38.493097164387585,12.091611566476384,12.286032820030872,12.372808548690163
5.397500000000001,12.25421350558281,13.87829158814039,38.34647803085261,12.106454850533623,12.302252022295326,12.390578136306662
5.4825,12.273281913243826,13.893936650215975,38.14631022830439,12.125639255559951,12.322388581004086,12.410953991207878
5.5675,12.295936056339544,13.947064677933646,37.6361841474362,12.14871326530653,12.347625364688652,12.433937301038297
5.6525,12.307068842680621,13.970874320153248,39.09075683639204,12.162535845890211,12.363108388660798,12.454000167914385
5.7375,12.333091186951298,13.995883905386604,37.83329142165598,12.18677843852911,12.387819872357666,12.476862225523437
5.822500000000001,12.351754125751045,14.006682539170415,38.10753879871721,12.204005497915578,12.405908964565524,12.49434864391786
5.9075,12.370803792286724,14.033255710853078,38.28441337929901,12.22278716891922,12.426102319537636,12.515465857319809
5.992500000000001,12.39375446429761,14.066176436141586,38.72199822615447,12.246171230667496,12.450710531625933,12.540585858505608
6.077500000000001,12.404557938161295,14.096462630514445,38.76997029259145,12.26139947602363,12.467847451021845,12.557326757729617
6.1625000000000005,12.432897389470337,14.118934081063243,38.68497015672563,12.285184548008852,12.49195309060644,12.58028283499965
6.2475000000000005,12.450451987611505,14.157243398468246,38.91413923906262,12.303500753969438,12.5123172710065,12.602146978172883
